2021.01.01 ~ 2021.12.31(Ö~_Щ,,,,,,,
ūȭǥü/strong>,ūȭ_strong>,۱ݼ/strong>,,Ƕ»,,Ÿű⁘뼯strong>,빌ȯꀲ
,,Ƕ,ހǶ,罇,ƄǶ,,
USD,̱ ޷,"1,156.12","1,134.01","1,165.10","1,125.03","1,145.07",1.0000
JPY, 100,"1,052.02","1,031.82","1,060.15","1,023.69","1,041.92",0.9105
EUR,/Ǖ /μ/td>,"1,366.93","1,339.87","1,380.06","1,326.74","1,353.40",1.1826
GBP,Ƅ,"1,590.56","1,559.07","1,605.83","1,543.80","1,574.82",1.3757
CAD,ĳ٠޷,922.81,904.55,931.67,895.68,913.68,0.7980
CHF,' ǁ,"1,264.60","1,239.57","1,276.75","1,227.43","1,252.09",1.0937
HKD,ȫġ ޷,148.78,145.84,150.21,144.41,147.31,0.1287
CNY,_ 'ȼ/td>,179.33,175.79,186.44,168.69,177.56,0.1551
THB,ł ن,36.17,35.47,36.53,35.11,35.82,0.0313
IDR,׽þƠ100燇Ƽ/span>,8.09,7.95,8.50,7.46,8.02,0.0070
SEK,ũγ׼/td>,134.72,132.06,136.05,130.73,133.39,0.1166
AUD,ȣV ޷,868.41,851.23,876.75,842.89,859.82,0.7514
DKK,ũ ũγ׼/td>,183.79,180.16,185.61,178.34,181.98,0.1590
NOK,븣 ũγ׼/td>,134.51,131.85,135.84,130.52,133.18,0.1164
SAR,翬𠸮˼/td>,308.32,302.22,320.53,285.43,305.27,0.2666
KWD,ĭƮ 𳪸,"3,832.85","3,756.96","4,060.54","3,529.26","3,794.90",3.3141
BHD,ٷ 𳪸,"3,067.57","3,006.84","3,219.43","2,794.23","3,037.21",2.6524
AED,U.A.E 𸣇Լ/td>,314.85,308.63,327.32,291.48,311.74,0.2722
SGD,̰Ʒ ޷,860.43,843.40,868.95,834.88,851.91,0.7442
MYR,vƠ꼯td>,0.00,0.00,0.00,0.00,276.24,0.2413
NZD,z場޷,817.58,801.40,825.43,793.55,809.49,0.7072
TWD,ŸϠ޷,0.00,0.00,43.48,38.57,41.02,0.0358
PHP,Ǌǉ ƤҼ/td>,23.45,23.00,25.31,21.84,23.23,0.0203
VND,Ʈ 100,5.04,4.95,5.58,4.40,4.99,0.0044
PLN,ƺ__n__/td>,299.50,293.58,320.26,272.82,296.54,0.2592
RUB,þƠ纭,15.69,15.39,16.63,13.69,15.54,0.0136
ZAR,ư 弯td>,78.26,76.72,83.69,71.30,77.49,0.0677
INR, 燇,15.63,15.33,16.72,14.56,15.48,0.0135
PKR,ƄŰź 燇,0.00,0.00,0.00,0.00,7.03,0.0061
BDT,汛󵥽àŸī,0.00,0.00,0.00,0.00,13.46,0.0118
EGP,}Ʈ Ƅ,0.00,0.00,0.00,0.00,72.95,0.0637
MXN,߽ÄڠƤҼ/td>,57.00,55.88,62.64,49.67,56.44,0.0493
BRL,궳z ˼/td>,0.00,0.00,235.77,186.93,212.41,0.1856
BND,귧 ޷,0.00,0.00,886.02,800.83,851.95,0.7442
ILS,󿤠Č,0.00,0.00,383.02,326.29,354.66,0.3096
JOD,丣ܠ𳪸,0.00,0.00,"1,679.70","1,485.90","1,615.10",1.4105
CZK,üĚ Ě糪,0.00,0.00,57.00,48.56,52.78,0.0461
MNT,񠅵׸,0.00,0.00,0.00,0.00,0.40,0.0003
FJD,Ǉv ޷,0.00,0.00,591.87,504.19,548.03,0.4788
KHR,į𾆠,0.00,0.00,30.47,25.97,28.22,0.0246
TRY,ƢŰ 󼯴d>,133.16,130.53,142.39,121.30,131.85,0.1155
HUF,ǫ ƷƮ,3.81,3.75,4.07,3.48,3.78,0.0033
QAR,īŸ ˼/td>,0.00,0.00,0.00,0.00,313.41,0.2737
KZT,īȥź ŞԼ/td>,0.00,0.00,0.00,0.00,2.68,0.0023
NPR,׆Ƞ燇,0.00,0.00,0.00,0.00,9.68,0.0085
XAU,GOLD 1g,"66,924.55","65,599.32",0.00,0.00,"66,261.93",57.8792
XAG,SILVER 1g,0.00,0.00,0.00,0.00,925.79,0.8097